,tce_period,tce_ror,tce_dor,tce_incl,tce_impact,tce_duration,tce_ingress,tce_depth,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_model_snr,tce_model_chisq,tce_robstat,tce_chisq1,tce_chisq2,tce_prad,tce_sma,tce_eqt,tce_steff,tce_slogg,tce_smet,tce_sradius,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd
348,10.3188,0.026803145,19.745083,87.9,0.723,2.911,0.1549,738.0,0.4870324,0.2076406,0.2162708,-0.1703668,34.9,2988.0,38.46,1224.0,715.9,3.1,0.09433,877.0,5927.0,4.41,0.07,1.06,9.978,35.0,0.8009,46.38,0.9971,0.09803,1.5888017528e-252,7.200726,-0.07429685,1.03402
349,0.508855,0.022918097,2.6382711,87.83,0.1,1.5,0.03394,616.5,0.4858936,-0.035384,0.5573648,-0.3372288,-1.0,-1.0,15.15,25280.0,2239.0,4.889,0.01451,3850.0,7514.0,4.05,-0.2,1.955,7.549,10.94,0.0,3.304,-0.09143,0.9947,2.9693128754e-22,7.874022,-0.4527095,1.182652
350,1.52327,0.023675414,1.7445137,58.92,0.9006,3.246,0.3634,441.0,0.7106644,-0.7272336,1.4184833,-0.5562664,34.63,22230.0,48.59,38070.0,6176.0,36.7,0.03323,4280.0,4695.0,2.46,0.04,14.21,5.605,36.87,0.3571,29.93,0.9393,0.1467,4.9810093677e-213,8.50703,0.2127311,1.177717
351,1.52333,0.35836239,3.4584139,89.97,0.001521,4.571,1.206,157200.0,0.574279,-0.2752698,0.9293532,-0.445804,511.3,17400.0,666.6,162900.0,84280.0,33.87,0.02411,1400.0,5311.0,4.47,-0.08,0.866,80.17,685.9,2.886,430.9,0.7454,0.009803,0.0,9.0757,-0.5254873,1.363518
352,45.5829,0.0085771423,102.23568,89.9,0.1798,3.38,0.0297,84.91,0.4023312,0.8171712,-0.8776808,0.3260104,10.38,772.1,9.497,217.9,47.45,2.541,0.3044,957.0,7266.0,3.83,-0.08,2.715,6.632,9.892,0.001231,14.46,1.05,0.4083,9.0027861546e-18,8.100358,-0.5652857,1.229452
353,15.9266,0.57714191,14.163198,86.35,0.9019,11.11,11.48,175100.0,0.587597,-0.2454376,0.853513,-0.4176172,4608.0,13390.0,13120.0,10190000.0,158300.0,57.75,0.12,670.0,5496.0,4.47,0.06,0.917,953.4,6543.0,0.108,3366.0,0.7043,0.1569,0.0,38.97393,-6.719147,6.479738
354,15.9265,0.10505692,89.26661,89.94,0.1,1.5,0.1439,13470.0,0.587597,-0.2454376,0.853513,-0.4176172,-1.0,-1.0,126.7,13420000.0,21890.0,10.51,0.12,670.0,5496.0,4.47,0.06,0.917,49.21,36.99,0.0,24.68,-0.02704,9.845,4.5080189587e-12,38.73689,-16.32783,7.791444
355,0.889755,0.0068940608,3.7685865,82.38,0.5,1.576,0.01436,52.97,0.3141432,0.812576,-0.60444,0.1651544,5.892,19020.0,9.314,12220.0,1894.0,0.7418,0.01841,2020.0,6250.0,4.47,-0.26,0.986,7.605,8.262,0.2351,5.17,0.7131,0.6122,4.544559191e-14,7.776632,-0.1369258,1.124052
356,1.99044,0.01117214,5.0545691,87.56,0.2153,2.972,0.03442,147.0,0.360092,0.672108,-0.4285736,0.0956848,24.89,17250.0,26.66,8166.0,1333.0,1.23,0.03174,1540.0,6208.0,4.46,-0.16,1.009,5.138,23.35,0.6558,26.02,1.066,0.08871,3.5805585581e-114,7.042013,-0.3019115,1.042861
357,1.89129,0.0048598356,3.0817793,87.5,0.1346,4.669,0.02299,27.7,0.4507288,0.1766354,0.2159362,-0.1816922,19.39,25340.0,22.58,8288.0,1124.0,1.835,0.03778,3340.0,7919.0,3.66,-0.2,3.46,4.887,19.44,0.3019,29.26,0.9972,0.1196,2.4383133837e-74,7.477236,-0.07029927,1.071969
358,1.89128,0.1381621,3.6402127,88.43,0.1,4.5,0.5511,21340.0,0.6400736,-0.0803032,0.0322984,-0.0137816,-1.0,-1.0,14490.0,32830000.0,1391000.0,70.29,0.04535,5050.0,11287.0,3.64,0.07,4.662,2131.0,24710.0,0.0,11170.0,-4.047e-05,0.0003029,0.0,8.665567,-1.533747,1.444922
359,0.630414,0.011979903,1.7007943,58.05,0.9,1.31,0.07782,130.7,0.6400736,-0.0803032,0.0322984,-0.0137816,6.361,16790.0,20.77,170500.0,1626.0,6.095,0.0218,7280.0,11287.0,3.64,0.07,4.662,8.212,25.37,0.0,4.208,0.2508,0.927,6.76355662e-103,7.812839,-0.7603091,1.2148
360,1.89117,0.0068347389,1.4692036,52.16,0.9013,4.412,0.1552,36.97,0.6358036,-0.3408836,0.8099476,-0.2633706,11.27,24860.0,13.5,10250.0,1625.0,0.4676,0.02555,933.0,4267.0,4.64,-0.14,0.627,8.82,10.91,3.191,22.19,1.033,0.2519,9.6246637853e-26,7.257838,-0.3372537,1.078598
